
2025-07-14 21:44:27,380 - 视频名称: Neutral_2.mp4, 播放时长: 31.29秒, 情绪类别: neutral, 标签值: 2
2025-07-14 21:45:19,935 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.11秒, 情绪类别: positive, 标签值: 3
2025-07-14 21:53:33,754 - 视频名称: sims_Negative_1.mp4, 播放时长: 36.71秒, 情绪类别: negative, 标签值: 1
2025-07-14 21:54:20,496 - 视频名称: sims_Negative_5.mp4, 播放时长: 30.28秒, 情绪类别: negative, 标签值: 1
2025-07-14 21:55:10,049 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.09秒, 情绪类别: positive, 标签值: 3
2025-07-14 21:55:59,767 - 视频名称: Neutral_1.mp4, 播放时长: 33.28秒, 情绪类别: neutral, 标签值: 2
2025-07-14 21:56:50,125 - 视频名称: sims_Negative_2.mp4, 播放时长: 33.89秒, 情绪类别: negative, 标签值: 1
2025-07-14 21:57:37,426 - 视频名称: Neutral_4.mp4, 播放时长: 30.86秒, 情绪类别: neutral, 标签值: 2
2025-07-14 21:58:24,044 - 视频名称: sims_Negative_3.mp4, 播放时长: 30.17秒, 情绪类别: negative, 标签值: 1
2025-07-14 21:59:12,642 - 视频名称: Neutral_5.mp4, 播放时长: 32.08秒, 情绪类别: neutral, 标签值: 2
2025-07-14 21:59:56,781 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.56秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:00:44,276 - 视频名称: Neutral_2.mp4, 播放时长: 31.07秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:01:44,275 - 视频名称: sims_Negative_4.mp4, 播放时长: 43.54秒, 情绪类别: negative, 标签值: 1
2025-07-14 22:02:36,899 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.19秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:03:25,745 - 视频名称: Neutral_6.mp4, 播放时长: 32.38秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:04:13,935 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.70秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:05:02,285 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.78秒, 情绪类别: positive, 标签值: 3

#2025_07_14_22_19_14_fnris 志航
2025-07-14 22:27:04,683 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.68秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:27:48,567 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.45秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:28:36,682 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.68秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:29:24,700 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.58秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:30:17,237 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.11秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:31:03,934 - 视频名称: sims_Negative_5.mp4, 播放时长: 30.27秒, 情绪类别: negative, 标签值: 1
2025-07-14 22:31:50,469 - 视频名称: sims_Negative_3.mp4, 播放时长: 30.09秒, 情绪类别: negative, 标签值: 1
2025-07-14 22:32:38,679 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.77秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:33:38,619 - 视频名称: sims_Negative_4.mp4, 播放时长: 43.53秒, 情绪类别: negative, 标签值: 1
2025-07-14 22:34:26,576 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.48秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:35:16,071 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.08秒, 情绪类别: positive, 标签值: 3
2025-07-14 22:36:04,388 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.88秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:36:55,457 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.60秒, 情绪类别: neutral, 标签值: 2
2025-07-14 22:37:48,610 - 视频名称: sims_Negative_1.mp4, 播放时长: 36.70秒, 情绪类别: negative, 标签值: 1
2025-07-14 22:38:38,928 - 视频名称: sims_Negative_2.mp4, 播放时长: 33.89秒, 情绪类别: negative, 标签值: 1

#2025_07_15_11_33_53_fnris 伍骞
2025-07-15 11:42:58,279 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.79秒, 情绪类别: neutral, 标签值: 2
2025-07-15 11:43:50,853 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.10秒, 情绪类别: positive, 标签值: 3
2025-07-15 11:44:40,372 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.08秒, 情绪类别: positive, 标签值: 3
